LLM-P,Refined by,Length,ROUGE-1,ROUGE-2,ROUGE-L,Co. Sim,LLM-J selected
gpt-5.6-sol,kimi-k3,3481,0.6866466866466866,0.268487674883411,0.2644022644022644,0.7712374925613403,
,qwen3.7-max,3100,0.7067299244421015,0.31569695904376865,0.3612721841504129,0.6930342316627502,
,gemini-3.1-pro,3251,0.7178416013925152,0.2960125370015671,0.3220191470844212,0.6502977609634399,
,claude-opus-4.8,3310,0.7492238703001035,0.36991028295376127,0.3652983787512935,0.7904902696609497,X
kimi-k3,gpt-5.6-sol,4746,0.5968616262482168,0.2288812785388128,0.1985734664764622,0.6541754007339478,
,qwen3.7-max,3284,0.6411632335122036,0.2652813852813853,0.3167734118054354,0.5757367610931396,X
,gemini-3.1-pro,2506,0.6923076923076922,0.3157477191590639,0.394131641554322,0.5108370780944824,
,claude-opus-4.8,2928,0.6169466494369578,0.21865189289012005,0.2813365331364224,0.5372678637504578,
qwen3.7-max,gpt-5.6-sol,1582,0.55546875,0.22752150117279124,0.22734375,0.6406559348106384,X
,kimi-k3,1430,0.6476112699060842,0.3489987740089906,0.34626378113515716,0.6637800931930542,
,gemini-3.1-pro,1107,0.6839134524929446,0.4011299435028249,0.43838193791157104,0.8263009786605835,
,claude-opus-4.8,1130,0.6820754716981131,0.3777148253068934,0.4075471698113208,0.6839554309844971,
gemini-3.1-pro,gpt-5.6-sol,1320,0.5721540414727042,0.22786954680220245,0.25476089716462125,0.6610079407691956,X
,kimi-k3,1186,0.6424352567014994,0.3201455206912233,0.32167196728759656,0.6498637199401855,
,qwen3.7-max,1078,0.7376425855513309,0.5014272121788772,0.5456273764258553,0.7121875286102295,
,claude-opus-4.8,1041,0.6224390243902439,0.32226562500000006,0.35219512195121955,0.6133372783660889,
claude-opus-4.8,gpt-5.6-sol,2169,0.4892043774031351,0.10949985202722698,0.15025140490979,0.6151976585388184,X
,kimi-k3,1836,0.6098191214470283,0.28312863606981253,0.3281653746770026,0.8328183889389038,
,qwen3.7-max,1755,0.6300731869594145,0.303595206391478,0.3532934131736527,0.7818126678466797,
,gemini-3.1-pro,1643,0.6731775374956401,0.3930191972076789,0.4541332403208929,0.8299473524093628,
